landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,DV,X,Y,label
2,3,41,18.70589447,11.05011272,153.4349518,7096,0.526490211,2.692385674,120.165165,257.8487796,1916.044022,378.2207899,-0.123190686,827226.5625,834521.0625,0
3,3,76,47.90545273,61.32518768,43.15238953,7917,1.364457965,1.161270738,189.7145681,181.7422594,736.5850738,345.4800607,0.916174352,815493.9375,812009.8125,0
2,3,316,12.71959305,51.40929031,116.5650482,7285,0.12097384,3.09790206,14.42780172,69.08559667,4.77366932,359.8801458,-0.358695,806792.625,812541.875,0
2,3,314,11.41325855,15.48036671,0.000001,4154,-0.337236375,2.862965107,3.633597632,200.7122201,180.3258352,2251.749761,2.043141365,829507,828219,1
2,3,47,45.217556,66.93225098,67.93209839,7493,1.617032051,1.601843834,94.25837537,249.8833585,129.5742767,374.0130735,-2.608910799,837050,825970,1
2,3,130,44.41957855,45.36289978,145.4914703,7086,1.242602468,1.283126235,3.082116683,282.2254512,2527.477023,50.22414199,0.760321677,836835,828790,1
2,3,150,31.93466759,38.36971664,121.7594833,7344,1.136686444,2.082189322,0.906531281,16.76473775,32.44235966,918.7855247,0.773905933,805771,812344,1
3,3,235,43.93834686,62.39635086,45,7007,1.225797057,1.299931645,19.79688786,31.84821806,125.86678,828.4260808,-0.82941705,806290,812525,1
3,3,100,20.17633438,64.18520355,105.9453964,5229,0.608295679,2.610580206,20.13874356,45.80754422,4519.164947,1057.486514,1.610549331,833629,834014,1
1,2,56,0.000001,0.000001,-1,1526,-5,6,323.6702653,713.7022849,1155.18619,17.84776372,-0.000001,821054.3125,827256.0625,0
3,3,153,18.70655632,62.17644501,63.43494797,7994,0.52652818,2.692347527,2.081693567,29.4211713,7816.621974,1694.208852,-0.000001,839385,846186,1
2,1,33,22.14179802,52.9053421,187.1250153,5317,0.71026963,2.508606195,38.99125859,653.908129,448.6432165,942.6261273,-0.203977093,813962,810813,1
2,3,123,42.3007164,26.51852798,86.82016754,7657,1.515075326,1.703800559,473.7934281,18.87992629,1624.863803,39.87594948,-0.000001,807714.5625,815525.8125,0
3,3,162,42.29963684,15.79261303,273.1798401,6503,1.168464065,1.357264638,4.152287892,479.1568449,0.27944573,677.8046568,-0.724320173,842988,813470,1
3,3,134,28.21697998,62.47101974,221.1859283,8130,0.64031899,1.885409713,12.80495082,8.438420352,142.4540549,1616.24263,-2.561987162,829588,827068,1
2,1,105,19.73126984,43.57849884,230.7106018,6779,1.27722609,3.32794404,390.9763519,422.3133999,631.6346074,571.7379713,-0.622640491,823090.25,830892.6875,0
1,3,7,0.000001,0.000001,-1,1125,-5,6,27.81954154,1789.534667,3529.578192,105.8909712,-0.906243742,837390.6875,818644.3125,0
1,1,5,0.000001,0.000001,-1,2733,-5,6,28.68084523,674.3184101,2196.330887,1537.488781,0.649617612,833678.8125,821333.1875,0
1,3,53,34.13918304,46.72419739,135,6157,1.220901728,1.997974157,20.42537034,2564.403931,610.9169548,252.7723422,2.033836126,848281,827871,1
3,3,104,48.85171127,78.1700592,48.57633591,7356,1.397721291,1.128007412,0.15111431,69.33192814,490.074919,779.9149612,0.919507504,833524,826237,1
3,3,12,20.00073624,65.44171906,213.6900635,6349,0.252221078,2.273507595,13.07680891,59.58538129,3702.080757,823.4553701,-0.620780826,834900,835270,1
1,3,42,11.41414165,5.52E-06,180,2118,0.009416629,3.209459305,20.66390301,288.9876497,1179.902756,1659.749436,-0.5660851,838424.75,822931.375,0
3,3,402,41.76391983,34.66649246,42.70938873,5597,1.149662733,1.376065969,8.210181224,488.9769528,39.65441085,1043.107335,-1.550789237,834059,814006,1
2,1,258,28.9881382,33.33903885,329.931427,3749,1.018916607,2.199959278,22.54460366,680.0407583,600.2591764,1129.111169,1.849772573,818541.75,830874,0
1,2,0,0.000001,0.000001,-1,698,-5,6,1071.650491,1563.508474,1680.842322,64.55169103,-0.000001,844155.625,836935.5625,0
3,2,114,39.14027405,37.02923584,240.255127,6048,1.403453469,1.815422416,10.3018421,108.7041326,3116.910739,82.75292975,-0.000001,842025,841603,1
1,2,7,0.000001,0.000001,-1,2996,-5,6,19.77099986,949.3316944,2000.87494,355.9550314,0.677124023,818791.625,835029.625,0
2,2,31,6.439169884,21.52290344,243.4349518,6967,-0.918740451,3.444469213,23.24624165,105.6084161,2769.439603,778.3695983,-1.474478245,843899.75,832087.125,0
3,3,9,0.000001,4.172024727,-1,3423,-5,6,23.20092989,936.0970466,3073.223717,3265.584078,-1.37804091,844748.375,820749.8125,0
1,3,42,18.60905266,11.52804565,347.0053711,6353,2.823498964,5.000546932,1.826689148,830.8472657,697.2855942,26.9030176,1.531108975,835810,825470,1
3,1,132,29.43748474,45.35874557,349.6951599,7553,3.522234201,4.666454792,6.643067757,260.1437623,2315.293875,424.3516915,0.740408778,831897,815961,1
2,2,89,45.14519119,45.94181824,28.49563789,7286,1.267932296,1.257796288,12.64361413,827.9813394,3768.002101,495.7918768,-0.628073871,853623,825412,1
1,3,57,15.204772,44.03842545,111.8014069,5971,2.098447561,4.703947067,31.66080953,52.30741419,546.3809996,1502.492664,-0.000001,840392.6875,837676.5625,0
2,3,31,46.97075272,59.80330658,133.0908508,7487,1.331710815,1.194017887,9.63288855,12.3685439,89.84031813,196.2663311,0.866664112,835430,812415,1
3,3,54,58.28625488,42.58267212,273.5763245,7096,2.090795279,1.128080606,6.078235415,176.4487338,2224.219565,197.5748796,-0.301373094,832710,822263,1
3,2,30,27.45694542,58.15249252,240.9454041,7857,0.954765677,2.264110088,3.890917854,806.2305809,390.6102596,931.5899249,-0.36100179,850740,828395,1
1,1,5,0.000001,0.000001,-1,1625,-5,6,17.3887167,802.1627171,3353.769275,284.7450983,1.1096946,839627,820280.875,0
3,3,26,16.05177307,27.77100182,232.1250153,5750,0.017109152,2.508619547,0.786144113,251.3593569,6556.545134,2130.744191,0.36162281,828991,838896,0
3,3,65,47.34699631,58.84365463,252.4075775,4135,1.344881654,1.18084693,12.50998101,321.1089415,1124.660251,1229.006302,1.350086689,831692,813855,1
2,3,14,10.11809349,56.57870483,98.13010406,3063,-0.1139924,3.332868338,0.018705818,49.33922949,3642.837247,987.9507916,0.209044516,836260,833670,1
2,3,223,29.43708801,32.48484421,153.4349518,6742,2.135923624,3.280176878,121.2253933,427.6838897,7254.651426,627.6131991,-2.545165777,831256.5,805482.4375,0
3,3,11,5.763952732,39.57529831,270,2724,-0.683784246,3.902660131,77.19928139,135.9666381,6411.311747,41.40292192,-9.463913918,809481.5,829617.75,0
