landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,InSAR_dv,X,Y,label
1,3,46,27.23460007,4.463531494,191.3099976,6857,0.945254028,2.27361989,44.2950204,15.38930189,4834.575385,347.6542445,-3.767210007,833684.9932,838668.9926,3.767210007
3,1,157,31.41930008,38.56845856,128.2899933,5973,0.769984007,1.755749941,74.9190071,332.4353106,4523.447508,2358.909594,-4.179639816,818330.3195,809111.7514,4.179639816
3,1,33,21.43420029,51.39083862,135,7960,0.327863008,2.197870016,69.11412815,370.4007158,2137.172387,443.8240114,-10.85529995,844632.7471,832138.4824,10.85529995
2,1,87,12.24940014,23.3031311,215.5379944,6173,2.479990005,5.53467989,102.4697772,39.29132867,3650.540135,352.0593199,-4.128479958,834600.9826,837066.7151,4.128479958
2,3,74,58.21780014,10.4835825,170.095993,5156,2.088129997,1.130749941,5.893439814,225.3914036,833.0275944,1338.818687,-3.271300077,837715.2297,823026.8197,3.271300077
3,3,107,26.37199974,31.90720558,284.743988,7086,0.907845974,2.311029911,261.6235813,920.6259745,4203.338768,720.7094479,-2.769279957,819257.2317,820327.9244,2.769279957
2,3,26,35.14229965,51.42028809,284.5339966,7581,0.911764979,1.613960028,22.23636255,835.771173,2235.069516,695.0797762,-6.609159946,832128.8605,822958.9667,6.609159946
2,3,57,28.58169937,69.91410828,76.60749817,6536,1.002110004,2.216769934,24.09617724,756.8820482,497.9282383,840.2475321,-10.21679974,842184.1944,815420.1941,10.21679974
2,2,54,32.75899887,66.03142548,131.8200073,7151,0.821941972,1.703789949,92.77365691,347.8720041,3437.008908,176.3457193,-6.399439812,811915.2906,816293.3089,6.399439812
3,3,222,23.18530083,19.17985535,225,7925,1,2.2,32.54995024,182.2796753,2038.594311,219.6536929,-3.365159988,831849.3572,815606.7862,3.365159988
3,3,6,6.110919952,18.69851112,45,1181,-0.971484005,3.497210026,0.979382126,1691.853631,3876.091126,16.87487537,-3.788249969,837662.0251,819046.6327,3.788249969
2,1,57,35.65499878,47.43389511,230.7109985,7649,1.277289987,1.941580057,77.356984,535.4362135,522.9068529,548.6907431,-5.321280003,844560.3527,824951.5,5.321280003
2,1,135,23.32719994,21.07263374,159.4440002,6810,0.768328011,2.450550079,421.9323076,1489.316228,6297.759584,3064.930338,-10.2730999,851181.9523,821654.8615,10.2730999
2,1,55,37.55139923,47.46081543,66.80139923,0,2.039599895,2.565570116,51.54064493,347.6630533,6995.850608,2875.548431,-2.637710094,859632.6551,830447.3537,2.637710094
2,3,32,39.69620132,68.0045929,109.5370026,6005,1.423230052,1.795639992,7.524857427,147.4168221,50.51451188,803.2074451,-2.609329939,837254.5038,812051.1679,2.609329939
1,3,99,22.14430046,30.24757576,97.125,7437,2.096689939,3.894769907,102.9726238,313.975077,6404.734616,255.4006899,-2.774509907,819048.5985,817667.6571,2.774509907
2,3,167,36.85089874,64.7583847,135,7935,0.974493027,1.551239967,51.02512471,280.7910963,18.67474978,15.33888618,-4.290649891,837767.0594,813069.0622,4.290649891
3,3,133,25.89279938,54.7477951,152.1029968,7102,0.886694014,2.332180023,64.84590607,573.0117584,3492.306107,1439.948746,-4.27448988,822976.6723,821161.1651,4.27448988
2,1,72,5.764530182,3.898178816,90,1454,-0.683683991,3.902559996,4.644066171,327.2075313,1518.159367,554.7188079,-7.559539795,833656.7303,815878.9021,7.559539795
1,2,353,20.77599907,23.41695213,183.8139954,6621,0.640236974,2.578639984,23.69591352,80.95252588,19.30425512,892.0207626,-6.271800041,806013.2126,813008.6244,6.271800041
3,3,30,12.71949959,34.42547607,243.4349976,7369,2.066879988,5.043819904,31.46490901,2253.01748,7715.442677,830.5485908,-8.738679886,855326.5527,821759.7426,8.738679886
3,3,121,32.43270111,14.23877621,83.15720367,6745,0.809394002,1.716330051,106.1967675,754.0281599,3511.276574,1364.379993,-6.949090004,823159.2352,821175.4526,6.949090004
2,3,100,20,0.000001,0.000001,6000,1,2.2,103.7029886,161.767121,1143.714357,983.5347754,-7.362949848,801839.5735,808263.1053,7.362949848
2,3,332,18.60860062,28.38221359,257.0050049,7368,0.174314007,2.351419926,122.8443175,58.75963256,383.7707023,1657.700373,-4.336120129,833368.8065,814430.8275,4.336120129
2,3,31,15.20619965,48.22988129,338.1990051,7030,0.306784004,2.912090063,43.5302398,495.8334317,5316.670162,225.138713,-8.219329834,813535.7087,833265.6943,8.219329834
2,1,106,25.46319962,33.27111816,237.9949951,6174,0.520919979,2.004810095,68.29693404,692.021842,6749.653547,434.0794761,-8.966520309,857855.9744,825797.2923,8.966520309
2,3,46,14.56429958,69.46111298,119.0550003,7041,0.95480299,3.650369883,19.17277503,488.7522465,412.5595996,348.5544176,-4.565470219,838156.7348,811252.1247,4.565470219
1,3,48,5.764460087,7.356441498,180,5047,2.024349928,6.610620022,75.81115515,302.7088233,3667.448484,1403.607107,-7.038799763,852447.8803,824802.457,7.038799763
3,3,124,31.29220009,29.12311363,94.76360321,6985,0.764993012,1.760740042,93.59285402,207.950281,6328.827727,307.5563434,-2.426419973,819050.7152,817551.2402,2.426419973
2,2,268,22.59760094,32.78412247,255.9640045,5359,0.73287499,2.486000061,174.0576865,287.4293356,474.0545477,130.4094492,-5.351160049,804995.0939,813260.5082,5.351160049
3,1,92,30.71229935,49.03835678,257.7349854,7007,1.088639975,2.130239964,377.6272754,281.9504936,810.0888117,307.290629,-3.753390074,810047.7863,808184.6496,3.753390074
2,3,107,19.99869919,42.82098389,56.30989838,7349,2.043869972,4.065380096,82.65027183,373.0559019,205.9814712,3080.205826,-4.989600182,843377.5093,810160.0646,4.989600182
3,3,52,17.91080093,45.53838348,51.34019852,5696,0.826526999,3.085500002,6.141214347,859.051746,1019.288297,258.448756,-4.302899837,819828.0648,834953.8695,4.302899837
3,3,80,24.95289993,60.74747086,167.470993,6776,1.942999959,3.473109961,178.8980035,690.8679658,5353.836953,2401.413456,-2.66072011,819644.0666,809793.8839,2.66072011
1,3,11,18.60689926,62.64203262,282.9949951,6551,0.520788014,2.698090076,6.462260116,26.15021227,807.3396887,791.2005439,-4.172090054,807588.4793,809049.6801,4.172090054
1,3,50,19.64089966,45.39627075,8.13010025,7148,0.579104006,2.639770031,8.959288192,429.226003,3098.679834,86.20759577,-2.317090034,821406.711,821312.1764,2.317090034
3,3,145,11.4137001,13.05926991,270,6080,3.005110025,6.205230236,96.05952735,332.9042537,3888.764417,1083.799071,-3.096220016,822792.5219,820738.8893,3.096220016
2,3,71,10.31309986,24.00877762,123.6900024,2252,-0.441062987,2.966789961,4.823151191,895.1239518,630.3370495,2363.530427,-4.226749897,839223.7675,808666.3749,4.226749897
2,1,203,36.34659958,5.659384251,239.0359955,6682,1.302680016,1.916200042,71.60085593,320.9019773,2954.422516,798.4024364,-4.500090122,854124.0191,827530.3166,4.500090122
2,1,50,27.06749916,24.91345787,147.0950012,6675,0.938072979,2.280800104,26.44265596,59.93554396,6574.717454,875.4902835,-1.32009995,856162.6377,824003.4137,1.32009995
2,1,75,21.75399971,30.29131889,108.4349976,6623,0.344173998,2.181550026,29.30422894,354.7897997,1604.149331,790.398444,-5.816989899,825734.4474,834805.6224,5.816989899
3,1,32,8.371709824,39.57494354,120.9639969,7533,0.38636899,4.218800068,60.84772199,8.886673663,1996.833256,2300.8367,-5.32310009,836407.8915,836111.1154,5.32310009
3,3,175,35.55519867,31.22265434,137.8619995,6697,0.927038014,1.598690033,114.4984005,88.53671662,14.59732458,447.1902282,-12.09000015,803593.9409,808161.2405,12.09000015
2,3,47,2.889280081,13.47960186,270,8230,1.841940045,7.814690113,40.41786251,551.606535,3582.95951,1943.495682,-3.512850046,829853.0569,810281.0247,3.512850046
1,3,120,30.3409996,28.01527596,187.4309998,7455,1.073830009,2.145040035,92.19367873,125.1015134,1307.943528,475.7336253,-3.676959991,852627.7973,828562.1937,3.676959991
2,3,106,12.87279987,36.22583771,186.3399963,6543,-0.213217005,2.738950014,132.059793,323.0561471,6288.167297,629.0990799,-4.275300026,855903.3455,824140.9973,4.275300026
1,3,387,20.77639961,28.57213974,176.1860046,7596,2.08543992,4.02380991,0.621279692,496.6783809,70.06333254,1065.489845,-2.016419888,834085.7959,814084.6358,2.016419888
3,3,120,10.11839962,29.02160454,171.8699951,7503,1.937360048,5.384150028,61.3195477,2831.2224,2567.9951,3366.47616,-3.53015995,840330.9326,806769.0332,3.53015995
2,2,31,32.87730026,39.09154892,38.65980148,8292,1.173050046,2.045819998,51.45268141,326.7751241,775.7087519,259.5350554,-5.674109936,803855.1256,813092.2329,5.674109936
2,3,77,27.2371006,13.13816929,168.6900024,7083,0.59878701,1.926939964,14.73856118,156.0694712,7811.827093,1803.093327,-4.179979801,835005.7271,844447.6047,4.179979801
2,2,108,32.7580986,41.91143799,311.8200073,6807,0.821910024,1.70381999,29.70940301,505.2630366,5307.207659,1205.867973,-2.390059948,819573.5329,814539.2175,2.390059948
2,2,12,25.89380074,49.43103409,98.97260284,5846,0.540165007,1.98556006,15.71291097,517.7464592,3722.310477,926.6840732,-1.175089955,818091.6648,813973.9562,1.175089955
2,3,127,12.24800014,43.57633591,35.53770065,7386,0.775115013,3.830060005,23.27783197,1687.093424,3461.777101,2333.964527,-2.586790085,845766.6439,820747.154,2.586790085
3,3,25,11.41359997,25.46583366,180,7559,0.00936432,3.209510088,33.14972305,1784.029038,4896.714888,317.2391434,-5.819109917,817945.813,820091.2453,5.819109917
1,3,120,19.73080063,28.82276917,230.7109985,4439,2.375809908,4.426579952,11.51565543,262.8433894,351.8492932,1156.644879,-2.42118001,841546.2629,829538.8498,2.42118001
2,3,79,18.60680008,44.51480484,167.0050049,7607,1.907080054,4.084390163,114.246144,64.64574311,25.21583414,1275.128287,-1.247599959,842399.4065,837659.0225,1.247599959
2,3,101,29.91869926,64.26739502,15.25510025,7061,1.056849957,2.162019968,1.023726672,136.6111796,2513.058395,83.21761953,-2.528630018,840668.6982,820869.5024,2.528630018
2,1,48,16.05190086,62.23585892,127.875,8075,0.363694012,2.855180025,90.40976277,493.7060616,258.3701935,148.6091344,-5.707439899,846397.8786,829907.1618,5.707439899
2,3,124,21.51320076,63.68209839,140.1940002,8146,1.371629953,3.233540058,41.49232273,1362.32802,6094.067532,845.0836827,-5.61014986,847393.7699,818661.1453,5.61014986
2,3,293,19.45779991,39.63012314,270,4776,3.704459906,5.785399914,152.1208471,332.1037409,1191.29288,1223.889039,-7.709690094,817485.627,829081.6918,7.709690094
1,1,135,6.439260006,58.00075912,63.43489838,2782,1,2.2,22.90045555,177.1504818,1337.080819,184.9100008,-5.89346981,833062.7369,823277.2686,5.89346981
1,3,69,24.89119911,42.62462234,45,6402,2.10442996,3.640180111,54.78112458,71.00651447,10751.91726,540.1260291,-2.609689951,850174.9302,845541.3764,2.609689951
2,3,294,25.46050072,6.419612885,57.99459839,5065,3.778899908,5.263030052,35.92956984,396.8442603,33.63909214,1046.809203,-6.45017004,819177.9596,828833.9146,6.45017004
2,3,122,0.000001,49.25478745,-1,4451,1,2.2,35.50985554,358.1920412,297.8072574,550.5165933,-5.928390026,837087.816,812262.835,5.928390026
2,3,100,31.5496006,29.68678284,260.5379944,7194,1.814810038,2.790359974,124.9710598,369.6632542,5011.05162,2183.181813,-3.058109999,819294.8159,809844.684,3.058109999
3,3,56,26.37269974,11.09978199,194.7440033,5357,0.561300993,1.964429975,121.650805,1258.27305,6494.304369,477.8234708,-6.69092989,826844.8547,841105.0999,6.69092989
2,1,373,23.25460052,29.54323769,273.3659973,7934,0.418262988,2.107470036,146.1585649,379.9688643,123.6095624,2390.638103,-3.895489931,829733.5497,828241.6771,3.895489931
2,3,60,23.25469971,37.12045288,220.2359924,7189,0.418269008,2.107460022,128.3460874,666.6499751,622.5449234,3082.663006,-8.833930016,842509.2203,809349.6761,8.833930016
2,3,41,18.21229935,40.91994095,175.6009979,7515,2.984450102,5.207709789,29.53636519,117.2655862,2580.127507,1056.328383,-3.133539915,816249.632,809698.0693,3.133539915
3,1,25,30.15769958,60.7539444,267.5100098,7646,1.066480041,2.152400017,21.20839071,13.23899663,1656.47429,2438.344897,-4.225959778,836840.6073,835942.581,4.225959778
1,2,105,17.7045002,54.81947708,161.5650024,6450,1.160730004,3.444439888,13.68974603,887.7297974,4912.31829,706.6278382,-8.262800217,819088.8153,814702.2012,8.262800217
3,2,106,26.37240028,28.31316757,194.7440033,7391,0.907864988,2.311009884,360.5019318,256.4615354,4129.229537,994.8895401,-6.42745018,848173.8212,811769.3264,6.42745018
2,2,77,30.15670013,5.414813519,235.6199951,8063,1.066439986,2.152440071,1800.36704,2197.353845,4935.406858,5328.404566,-7.651110172,843444.5246,804964.2382,7.651110172
2,1,77,27.23489952,31.25099945,258.6900024,6823,0.59869498,1.927029967,50.17869617,285.2589842,126.4267189,605.5438141,-4.346739769,851422.0975,829860.8242,4.346739769
1,2,195,8.125120163,43.77284622,315,3773,-0.337094009,3.555969954,5.870821579,390.2013079,6109.250406,400.0975219,-3.559600115,819374.5658,816772.3053,3.559600115
2,3,71,15.57680035,24.02253342,5.194429874,7795,-0.0145075,2.540240049,32.54570001,158.7449941,922.125442,292.5417901,-6.223949909,840445.1699,827294.6531,6.223949909
2,1,117,25.8946991,35.77368546,242.1029968,6448,0.886776984,2.332099915,38.37670042,1575.713876,5488.147741,468.7817254,-3.00180006,855972.1373,825643.8337,3.00180006
2,1,69,32.27019882,23.84335327,357.7090149,0,0.803120017,1.722609997,527.6612205,609.2750605,2909.591705,1416.276257,-6.346139908,850882.5669,825273.1605,6.346139908
2,2,98,44.97980118,22.75687218,45,4694,1.262159944,1.263569951,116.0920949,545.1525005,4357.316446,1454.073437,-7.210239887,848440.5217,812156.6771,7.210239887
3,1,55,18.60829926,30.26120949,257.0050049,7174,0.174298003,2.351429939,48.02739472,963.6867557,6242.849986,527.523252,-4.954239845,854823.8434,823204.3704,4.954239845
3,1,58,22.59790039,8.219703674,165.9640045,4778,4.721869946,6.474969864,65.46216917,234.1534981,5789.218765,1106.075637,-4.105510235,836345.6545,842827.5121,4.105510235
2,1,95,28.16250038,23.05046082,171.8699951,7674,0.984609008,2.234270096,139.9207839,439.7874358,5958.312826,1548.232093,-3.766870022,835659.7784,842701.3512,3.766870022
2,3,119,51.1495018,20.01200104,116.5650024,6522,1.479189992,1.046540022,856.7978648,803.6301413,9404.432042,237.3312572,-5.575250149,850016.1798,843546.4141,5.575250149
2,3,75,22.59670067,25.90918159,194.0359955,7694,0.732832015,2.486040115,1103.755312,1639.34655,5813.185059,762.6043664,-3.493999958,848876.1708,820518.6834,3.493999958
2,3,39,28.99029922,18.44867706,59.9314003,5823,1.019000053,2.19987011,99.85067494,1161.34527,1153.143215,399.2218849,-11.20349979,819908.2111,835649.2433,11.20349979
2,1,72,15.93599987,33.59257507,225,2436,1,2.2,1033.390858,1469.542255,3880.060307,416.7361977,-3.443209887,854596.3013,826482.5645,3.443209887
2,1,63,35.10950089,69.18353271,158.9620056,7214,1.257120013,1.961750031,0.825977154,916.8528443,1939.900311,578.3629193,-2.0151999,852473.8763,826837.6073,2.0151999
2,3,41,18.21310043,60.91769409,184.3990021,3153,0.497851998,2.721019983,18.15415616,180.0228119,1964.617528,252.3932022,-3.455199957,837617.3992,821723.413,3.455199957
2,3,143,15.57499981,24.39655495,275.1940002,4810,4.020820141,6.575809956,112.335144,156.9856634,811.9908299,909.3709354,-4.081639767,818020.0026,830342.0093,4.081639767
2,3,79,39.6957016,25.09348106,250.4629974,6424,1.07664001,1.44907999,120.9661923,151.0567804,3905.809484,715.4193275,-3.178740025,822394.0586,820705.5517,3.178740025
2,1,277,30.15719986,29.173769,55.61970139,7393,1.066460013,2.152420044,38.47531987,831.4386823,568.8023777,853.3967144,-5.22247982,834164.0572,825259.8056,5.22247982
3,3,124,24.2961998,15.81234074,206.5650024,7591,1.160699964,2.751329899,78.58575128,2648.600898,7162.383369,1221.115024,-3.438760042,821909.7123,812581.5501,3.438760042
2,1,86,7.333159924,26.54005241,258.6900024,6055,2.891299963,6.991980076,373.272924,1299.434507,4380.51903,822.1586732,-3.684969902,855802.8037,827051.4198,3.684969902
2,3,239,9.068470001,65.68125916,108.4349976,5089,0.46756199,4.137609959,20.70889201,194.0526327,136.0282085,293.446363,-2.221489906,837581.8507,813303.2189,2.221489906
2,3,397,51.69279861,46.23833847,113.4990005,6665,1.845209956,1.373659968,6.029214443,275.4240044,615.8089251,1385.725822,-4.172780037,833448.1816,814784.0469,4.172780037
3,3,106,26.77960014,54.45188522,143.1300049,6358,0.925624013,2.293250084,7.651489551,225.5909413,6151.195999,235.1957541,-3.341120005,818860.2148,818410.6086,3.341120005
1,3,124,2.889359951,21.91762733,270,6623,1.262150049,7.234839916,375.0359495,1845.068062,6767.604086,3496.731202,-2.670789957,851613.7532,821311.9608,2.670789957
2,2,108,34.28879929,23.16432953,177.8789978,5397,2.835959911,3.601799965,1577.085215,2009.737948,5063.760065,5601.514509,-4.270840168,843745.0919,804868.988,4.270840168
3,3,67,38.25180054,30.94975281,140.1940002,7665,1.371670008,1.847200036,173.3332704,30.74322362,3470.735008,658.5716727,-5.073390007,822092.5124,821147.076,5.073390007
2,1,86,16.05139923,33.5378685,254.7449951,5747,1.056810021,3.548360109,5.864539919,2514.159205,524.6035237,388.2614185,-6.419300079,848253.7057,828121.1853,6.419300079
2,3,63,14.02639961,76.68401337,135,4308,0.915564001,3.689610004,7.973802293,825.3268357,712.2621123,498.7305451,-5.554999828,837614.3379,811040.4576,5.554999828
3,3,10,30.15600014,15.68985653,267.5100098,5332,1.066409945,2.152470112,0.508113041,12.30800972,1983.661545,571.1013716,-7.459569931,822676.6342,822642.3056,7.459569931
2,3,169,20.17720032,34.02086639,15.94540024,7773,1.871209979,3.873399973,54.49194473,84.8216266,60.08933149,1650.50947,-5.400000095,828494.0243,826995.6077,5.400000095
1,2,229,32.87749863,8.560604095,231.3399963,4775,3.118969917,3.991729975,35.68397781,283.7048537,744.9687287,220.5864297,-5.478089809,804692.41,813467.9419,5.478089809
2,2,181,26.60840034,66.8805542,130.9140015,7609,0.57160598,1.95412004,63.09982335,609.147724,5224.168146,836.9848894,-2.208600044,819353.3991,814888.4682,2.208600044
2,1,32,7.332250118,39.1145668,191.3099976,7557,-0.441026002,3.65989995,37.40242264,129.9749559,408.2947076,657.1336976,-4.301089764,841141.4748,829831.5378,4.301089764
2,2,71,21.02610016,24.08938599,246.8009949,7306,0.30675599,2.21897006,46.92224947,339.302061,7420.478455,7269.107239,-6.026800156,845681.3908,802950.5324,6.026800156
3,3,105,31.37660027,33.35638428,204.4440002,6466,0.76831001,1.757419944,179.2748638,254.0554002,3955.760271,1007.041702,-5.177859783,822743.3093,820667.4516,5.177859783
2,3,23,0.000001,14.28232479,-1,7441,1,2.2,146.394198,236.1681885,903.8487613,969.834649,-1.630699992,823721.8402,835915.5203,1.630699992
